Change in head direction,Time Frame
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:58
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:20:59
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
0,15:21:00
1,15:21:00
1,15:21:00
1,15:21:00
1,15:21:00
1,15:21:00
1,15:21:00
1,15:21:00
1,15:21:00
1,15:21:00
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:01
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:02
1,15:21:03
1,15:21:03
1,15:21:03
1,15:21:03
1,15:21:03
1,15:21:03
1,15:21:03
1,15:21:03
1,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:03
2,15:21:04
2,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:04
3,15:21:05
3,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:05
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:06
4,15:21:07
4,15:21:07
4,15:21:07
4,15:21:07
4,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:07
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
5,15:21:08
6,15:21:08
6,15:21:08
6,15:21:08
6,15:21:08
6,15:21:08
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
6,15:21:09
7,15:21:09
7,15:21:09
7,15:21:09
7,15:21:09
7,15:21:09
7,15:21:09
7,15:21:09
7,15:21:09
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
7,15:21:10
8,15:21:10
8,15:21:10
8,15:21:10
8,15:21:10
8,15:21:10
8,15:21:10
8,15:21:10
8,15:21:10
8,15:21:10
8,15:21:10
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
8,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:11
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
9,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:12
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
10,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:13
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:14
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:15
11,15:21:16
11,15:21:16
11,15:21:16
11,15:21:16
11,15:21:16
11,15:21:16
11,15:21:16
11,15:21:16
